last_name, first_name,player_id,year,b_ab,b_swinging_strike,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,z_swing_percent,oz_swing_percent,pitch_count,f_strike_percent,
Straw, Myles,664702,2021,564,145,.256,.333,.303,.337,.077,87.1,11.9,42.4,6,1.3,59.7,19,2653,58.3,
Walsh, Jared,665120,2021,530,289,.257,.436,.327,.323,.179,89.6,7.8,33.6,43,11.3,68.5,31.6,2256,58,
Tatis Jr., Fernando,665487,2021,478,383,.279,.618,.408,.363,.338,93.9,13.8,33.1,70,21.3,79.9,29,2141,60.1,
Guerrero Jr., Vladimir,665489,2021,604,330,.307,.594,.418,.399,.287,95.1,9.4,33.7,75,15.1,73.7,24.5,2509,63.1,
Soto, Juan,665742,2021,502,182,.305,.545,.429,.463,.241,93,5.8,29.7,55,13.3,60,12.2,2601,54.7,
Chisholm Jr., Jazz,665862,2021,464,286,.238,.409,.307,.295,.171,90.2,9,29,29,9,64.9,30.8,2040,60,
Bichette, Bo,666182,2021,640,337,.291,.490,.355,.337,.198,91.4,7.3,33.5,50,9.9,79.6,38.1,2609,64.6,
Carlson, Dylan,666185,2021,542,317,.247,.407,.322,.328,.159,88.2,15.1,40.6,28,7,67.2,23.9,2530,59,
Garcia, Adolis,666969,2021,581,464,.220,.422,.299,.267,.202,91,14.7,29.4,45,11.5,74.5,35.8,2508,61.4,
Gurriel Jr., Lourdes,666971,2021,500,255,.272,.462,.339,.319,.190,89.7,10.5,35.8,39,9.6,68.3,34.3,2072,67.2,
Arozarena, Randy,668227,2021,529,355,.222,.369,.304,.313,.147,89.9,7.6,29.7,30,8.2,66.5,24.7,2479,58.1,
Reynolds, Bryan,668804,2021,559,291,.294,.524,.386,.384,.230,89.4,13.4,39.9,46,10.4,75.4,24.7,2493,57.6,
Rojas, Josh,668942,2021,484,230,.237,.357,.299,.318,.120,88.2,8.4,40.7,17,4.8,62.9,21.1,2316,60.1,
Edman, Tommy,669242,2021,641,185,.274,.401,.316,.320,.127,87.5,9.5,31.5,23,4.2,65.6,28.2,2612,56.8,
Solak, Nick,669256,2021,458,234,.238,.361,.299,.310,.124,86.9,7,29.3,23,6.5,64.3,29.8,2054,61.3,
Hays, Austin,669720,2021,488,223,.245,.432,.316,.298,.187,88.8,12.5,32.2,35,9.1,64.4,29.4,1957,60.5,
Lopez, Nicky,670032,2021,497,148,.239,.305,.283,.313,.065,86.8,2.8,27.6,3,0.7,64.9,24.5,2126,61.9,
Alvarez, Yordan,670541,2021,537,234,.280,.571,.390,.351,.291,93.2,14.1,37.2,63,15.9,62,26.2,2396,55.9,
